2023-12-28 12:06:58,386 INFO  [org.jboss.as.repository] (management-handler-thread - 2) WFLYDR0002: Content removed from location C:\Users\userg\eclipse-workspace\JavaEE\wildfly-preview-30.0.1.Final\standalone\data\content\2b\5f35b9f9e760232e013d507772ce37700be7a1\content
2023-12-28 12:07:02,459 INFO  [stdout] (default task-3) Hibernate: select p1_0.id,p1_0.categoria_id,c1_0.id,c1_0.nombre,p1_0.fecha_registro,p1_0.nombre,p1_0.precio,p1_0.sku from productos p1_0 left join categorias c1_0 on c1_0.id=p1_0.categoria_id
2023-12-28 12:07:02,620 WARN  [org.jboss.weld.Servlet] (default task-13) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:02,620 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:02,622 WARN  [org.jboss.weld.Servlet] (default task-3) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:11,298 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas ]
2023-12-28 12:07:11,330 INFO  [stdout] (default task-9) Hibernate: select p1_0.id,p1_0.categoria_id,c1_0.id,c1_0.nombre,p1_0.fecha_registro,p1_0.nombre,p1_0.precio,p1_0.sku from productos p1_0 left join categorias c1_0 on c1_0.id=p1_0.categoria_id
2023-12-28 12:07:11,383 WARN  [org.jboss.weld.Conversation] (default task-3) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/inputmask/inputmask.js.jsf ]
2023-12-28 12:07:11,384 WARN  [org.jboss.weld.Conversation] (default task-13) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/datepicker/datepicker.js.jsf ]
2023-12-28 12:07:11,403 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:11,404 WARN  [org.jboss.weld.Servlet] (default task-3) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:11,404 WARN  [org.jboss.weld.Servlet] (default task-13) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:15,689 WARN  [org.jboss.weld.Conversation] (default task-3) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/ ]
2023-12-28 12:07:15,702 INFO  [stdout] (default task-3) Hibernate: select p1_0.id,p1_0.categoria_id,c1_0.id,c1_0.nombre,p1_0.fecha_registro,p1_0.nombre,p1_0.precio,p1_0.sku from productos p1_0 left join categorias c1_0 on c1_0.id=p1_0.categoria_id
2023-12-28 12:07:15,738 WARN  [org.jboss.weld.Conversation] (default task-13) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/inputmask/inputmask.js.jsf ]
2023-12-28 12:07:15,740 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/datepicker/datepicker.js.jsf ]
2023-12-28 12:07:15,755 WARN  [org.jboss.weld.Servlet] (default task-3) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:15,763 WARN  [org.jboss.weld.Servlet] (default task-13) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:15,763 WARN  [org.jboss.weld.Servlet] (default task-9) WELD-000717: Unable to deactivate context org.jboss.weld.module.web.context.http.LazyHttpConversationContextImpl@230f5733 when destroying request HttpServletRequestImpl [ GET /webapp-jsf3-jaas/login.jsf ]
2023-12-28 12:07:58,993 WARN  [org.jboss.weld.Conversation] (default task-9) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/ ]
2023-12-28 12:07:59,009 INFO  [stdout] (default task-9) Hibernate: select p1_0.id,p1_0.categoria_id,c1_0.id,c1_0.nombre,p1_0.fecha_registro,p1_0.nombre,p1_0.precio,p1_0.sku from productos p1_0 left join categorias c1_0 on c1_0.id=p1_0.categoria_id
2023-12-28 12:07:59,047 WARN  [org.jboss.weld.Conversation] (default task-13) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/inputmask/inputmask.js.jsf ]
2023-12-28 12:07:59,047 WARN  [org.jboss.weld.Conversation] (default task-3) WELD-000335: Conversation context is already active, most likely it was not cleaned up properly during previous request processing: HttpServletRequestImpl [ GET /webapp-jsf3-jaas/jakarta.faces.resource/datepicker/datepicker.js.jsf ]
